model,text_length_llm,text_length_truth,word_count_llm,word_count_truth,semantic_similarity,rouge_l_score,content_completeness
DeepSeek-R1-Distill-Llama-8B,4362,9826,406,1171,37.72837817668915,35.60311284046693,34.67122117847993
Llama-3.1-8B-Instruct,4398,9826,499,1171,28.95795702934265,42.039542143600414,42.6131511528608
MiniMax-M2,8713,9826,1045,1171,40.66672623157501,58.82352941176471,89.23996584116139
Qwen2.5-7B-Instruct,8370,9826,932,1171,25.343364477157593,26.01626016260163,79.59009393680616
gpt-oss-20b,9247,9826,1047,1171,35.96524000167847,60.89068825910932,89.41076003415884
